Family	Genus	Species	Subspecies	hap	Reference
Lycaenidae	Polyommatus	phyllis		80	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	phyllis	vanensis	78	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Polyommatus	pierceae		22	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	pljushtchi		67	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	poseidon		20	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	posthumus		90	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	pseudactis		29	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	pseudorjabovi		79	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	putnami		26	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	ripartii		90	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Polyommatus	ripartii	paralcestis	90	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Polyommatus	ripartii	pelopi	90	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	rjabovi		49	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	rjabovianus	masul	43	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	rjabovianus	rjabovianus	49	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	shahrami		134	"Vershinina, A.O. & Lukhtanov, V.A. (2013). Dynamics of Chromosome Number Evolution in the Agrodiaetus phyllis Species Complex (Insecta: Lepidoptera). Cell and Tissue Biology 7: 379–381."
Lycaenidae	Polyommatus	shamil		17	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	sorkhensis		43	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	stempfferi		23	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	surakovi		50	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	tankeri		21	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Polyommatus	tenhageni		54	"Vershinina, A.O. & Lukhtanov, V.A. (2013). Dynamics of Chromosome Number Evolution in the Agrodiaetus phyllis Species Complex (Insecta: Lepidoptera). Cell and Tissue Biology 7: 379–381."
Lycaenidae	Polyommatus	timfristos		38	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	transcaspicus		52	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	turcicolus		20	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	turcicus		24	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Polyommatus	valiabadi		23	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	vanensis		78	"Vershinina, A.O. & Lukhtanov, V.A. (2013). Dynamics of Chromosome Number Evolution in the Agrodiaetus phyllis Species Complex (Insecta: Lepidoptera). Cell and Tissue Biology 7: 379–381."
Lycaenidae	Polyommatus	violetae		90	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae	Polyommatus	zarathustra		20-21	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."
Lycaenidae	Rapala	varuna	formosana	24	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."
Lycaenidae	Satyrium	sylvinus		41	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Scolitantides	orion		23	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Spindasis	syama		31	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."
Lycaenidae	Strymon	astiocha		24	"Brown, K.S., Schoultz, Von, B., Saura, A.O. & Saura, A. (2012). Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea). Hereditas 149: 128–138."
Lycaenidae	Strymon	eurytulus		24	"Brown, K.S., Schoultz, Von, B., Saura, A.O. & Saura, A. (2012). Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea). Hereditas 149: 128–138."
Lycaenidae	Strymon	melinus		24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Strymon	pruni		23	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Surendra	vivarna		25	"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152."
Lycaenidae	Syntarucus	telicanus		24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Taraka	hamada		15	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Tarucus	balcanicus		24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Thecla	quercus		24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Thysonotis	cyanea	arinia	24	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."
Lycaenidae	Thysonotis	hymetus	taygetus	24	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."
Lycaenidae	Turanana	panagaea		24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Ussuriana	stygiana		47	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Vacciniina	alcedo		23	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Vacciniina	hyrcana		22	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Vacciniina	sieversi		22	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae	Virachola	isocrates		19	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."
Lycaenidae	Zizeeria	mafia	argia	24	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lycaenidae 	Polyommatus	alcestis		20-21	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae 	Polyommatus	dantchenkoi		40-42	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae 	Polyommatus	dolus	vittatus	124-125	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae 	Polyommatus	eriwanensis		32-34	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lycaenidae 	Polyommatus	yeranyani		79-80	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."
Lymantriidae	Cifuna	locuples	confusa	19	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Dasychira	pseudabietis		52	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Dasychira	pudibunda		87	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Dasychira	selenitica		22	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Dicallomera	fascelina		16	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Dicallomera	kusnezovi		20	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	chrysorrhoea		14	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	flava		22	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	kogistana		22	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	pseudoconspersa		22	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	similis		22-23	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Euproctis	virguncula		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Gynaephora	pumila		18	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Gynaephora	rossi	daisetsuzana	26	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Gynaephora	selenitica		22	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Laelia	caenosa		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Leucoma	salicis		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	dispar		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	dispar	japonica	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	fumida		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	mathura		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Lymantria	mathura	aurora	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	monacha		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Lymantria	obfuscata		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Lymantria	umida		30	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Olene	olga		21	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Orgyia	antiqua		14	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Orgyia	ericae		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Orgyia	gonostigma		30	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Orgyia	leucostigma		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Orgyia	recens		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Orgyia	thyellina		11	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Lymantriidae	Orgyia	trigontehras		29	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Lymantriidae	Stilpnotia	salicis		30	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Megathymidae	Agathymus	mariae		21	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Megathymidae	Megathymus	violae		27	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Megathymidae	Stallingsia	maculosa		50	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Abrostola	aurifera		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Abrostola	confusa		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Abrostola	festucae		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Abrostola	gamma		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Abrostola	nigrisigna		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Abrostola	trigemina		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Achaea	janata		31	"Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149."
Noctuidae	Acontia	intersepta		31	"Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149."
Noctuidae	Actinotia	polyodon		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Adris	tyrannus	amurensis	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Aedia	funesta		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Agrochola	circellaris		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Agrochola	Iota		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Agrochola	litura		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Agrotis	fimbria		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Agrotis	triangulum		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Amathes	baja		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amathes	c-nigrum		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Amathes	rhomboidea		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amathes	triangulum		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amathes	xanthographa		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amphipoea	burrowsi		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Amphipyra	perflua		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amphipyra	pyramidea		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Amphipyra	tragopogonis		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Anaplectoides	prasina		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Anomis	commoda		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Anomis	sabulifera		31	"Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149."
Noctuidae	Anophia	leucomelas		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Antitype	chi		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Apamea	monoglypha		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Apatele	alni		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Apatele	incretata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Apatele	psi		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Arcte	coerulea		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Arete	coerulea		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Autographa	nigrisigma		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Noctuidae	Axylia	putris		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Callistege	mi		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Callogonia	virgo		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Calocasia	coryli		31	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."
Noctuidae	Calpe	aureola		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
