Family	Genus	species	sub.species	uncertainities	SpecisName	other.names.genera	other.names.species	other.names.sub.species	other.name.type	Source.of.other.name	notes.on.other.name	Sexual.System	Karyotype	notes..Karyotype	Predicted.ploidy	female2N	male2N	notesMale2N	notes..comments	cite.key
Pieridae	Gonepteryx	farinosa			NA	Gonepteryx	farinosa		Accepted	GBIF		gonochorous			NA		64			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Pieridae	Glutophrissa	drusilla			NA	Glutophrissa	drusilla		Accepted	GBIF					NA		64			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 2. Hesperiidae, Megathymidae and Pieridae. J. Lepid. Soc.,14, pp.37-57."
Noctuidae	Orthosia	cruda			NA	Orthosia	cruda		Accepted	GBIF					NA		64			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Nymphalidae	Marpesia	corinna			NA	Marpesia	corinna		Accepted	GBIF					NA		64			"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148."
Geometridae	Pelurga	comitata			NA	Pelurga	comitata		Accepted	GBIF		gonochorous			NA		64			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Hepialidae	Phymatopus	californicus			NA	Phymatopus	californicus		Accepted	GBIF			ZO		NA	63	64			"Jiráková, I. and Bud?jovice, ?., JIHO?ESKÁ UNIVERZITA V ?ESKÝCH BUD?JOVICÍCH P?ÍRODOV?DECKÁ FAKULTA."
Nymphalidae	Acraea	bonasia			NA	Acraea	bonasia		Accepted	GBIF		gonochorous			NA		64			Lesse and Condamin 1962
Nymphalidae	Marpesia	berania			NA	Marpesia	berania		Accepted	GBIF					NA		64			"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148."
Pieridae	Colias	aurorina			NA	Colias	aurorina		Accepted	GBIF		gonochorous			NA		64			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Nymphalidae	Melitaea	aurelia			NA	Melitaea	aurelia		Accepted	GBIF		gonochorous			NA		64		This chromosome number was taken from personnal communications between Roy Robinson and Zdravko Lorkovic in 1966.	robinson1971karyology
Hesperiidae	Chiomara	asychis	georgina		NA	Chiomara	asychis		Accepted	GBIF					NA		64			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Nymphalidae	Coenonympha	arcania			NA	Coenonympha	arcania		Accepted	GBIF		gonochorous			NA		64			"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Pieridae	Gonepteryx	rhamni			NA	Gonepteryx	rhamni		Accepted	GBIF		gonochorous			NA		63	"62,64"		"Federley, H., 1938. CHROMOSOMENZAHLEN FINNLÄN?DISCHER LEPIDOPTEREN: I. RHOPALOCERA. Hereditas, 24(4), pp.397-464."
Notodontidae	Notodonta	ziczac			NA	Notodonta	ziczac		Accepted	GBIF		gonochorous			NA		62			Federley 1932b
Nymphalidae	Acraea	zetes			NA	Acraea	zetes		Accepted	GBIF					NA		62			"Lesse, H.D., 1967. Formules chromosomiques de Lépidoptères Rhopalocères d'Afrique centrale (supplemént et rectificatif).Bulletin de la Société entomologique de France,72(9), pp.287-288."
Nymphalidae	Polygonia	zephyrus			NA	Polygonia	zephyrus		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Pieridae	Teriocolias	zelia			NA	Teriocolias	zelia		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Pieridae	Dismorphia	zathoe	demeter		NA	Dismorphia	zathoe		Accepted	GBIF					NA		62			"Saura, A., Schoultz, B.V., Saura, A.O. and Brown Jr, K.S., 2013. Chromosome evolution in Neotropical butterflies.Hereditas,150(2?3), pp.26-37."
Nymphalidae	Taygetis	ypthima			NA	Taygetis	ypthima		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Taygetis	ypthima			NA	Taygetis	ypthima		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Saturniidae	Antherea	yamamai			NA	Antheraea	yamamai		Accepted	GBIF		gonochorous	ZW		NA	62	62			traut2008sex
Riodinidae	Melanis	xenia	ambryllis		NA	Melanis	xenia		Accepted	GBIF					NA		62			"Brown Jr, K.S., von Schoultz, B., Saura, A.O. and Saura, A., 2012. Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea).†hereditas,†149(4), pp.128-138."
Pieridae	Eurema	xantochlora			NA	Eurema	xantochlora		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Nymphalidae	Nymphalis	xanthomelas			NA	Nymphalis	xanthomelas		Accepted	GBIF					NA		62			"Maeki, K., 1953. Chromosome numbers of some butterflies. The Japanese Journal of Genetics, 28(1), pp.6-7."
Nymphalidae	Nymphalis	xanthomelas	japonica		NA	Nymphalis	xanthomelas		Accepted	GBIF		gonochorous			NA		62			Maeki 1961
Nymphalidae	Vanessa	xanthomelas			NA	Vanessa	xanthomelas		Accepted	GBIF		gonochorous			NA		62			"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Nymphalidae	Junonia	westermanni			NA	Junonia	westermanni		Accepted	GBIF		gonochorous			NA		62			"Bernardi, G. and de Lesse, H., 1964. Formules chromosomiques de quelques Lepidopteres Rhopaloceres du Gabon. Biol. Gabonica., 1, p.65-71."
Erebidae	Euproctis	virguncula			NA	Euproctis	virguncula		Accepted	GBIF					NA		62			"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149."
Nymphalidae	Vanessa	virginiensis			NA	Vanessa	virginiensis		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Vanessa	virginiensis			NA	Vanessa	virginiensis		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Notodontidae	Cerura	vinula	delavoiei		NA	Cerura	vinula		Accepted	GBIF		gonochorous			NA		62			Federley 1939
Yponomeutidae	Yponomeuta	vigintipunctatus			NA	Yponomeuta	vigintipunctata		Accepted	GBIF					NA		62			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Noctuidae	Lugephila	viciae			NA	Lygephila	viciae		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Nymphalidae	Eueides	vibilia			NA	Eueides	vibilia		Accepted	GBIF					NA		62			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Noctuidae	Xylena	vetusta			NA	Xylena	vetusta		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Noctuidae	Argyrogramma	verruca			NA	Argyrogramma	verruca		Accepted	GBIF					NA		62			"Goodpasture, C., 1976. High-resolution chromosome analysis in Lepidoptera.Annals of the Entomological Society of America,69(4), pp.764-771."
Nymphalidae	Polygonia	vau-album	samurai		NA	Polygonia	vau-album		Accepted	GBIF		gonochorous			NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Hesperiidae	Thoressa	varia			NA	Thoressa	varia		Accepted	GBIF					NA		62			"Abe, A., Kushibiki, M. and Kudoh, K., 2006. A study of male germ-line chromosomes in 14 species of the Hesperiidae (Lepidoptera). The Transactions of the Lepidopterological Scociety of Japan, 57(3), pp.217-228. "
Hesperiidae	Thoressa	varia			NA	Thoressa	varia		Accepted	GBIF					NA		62			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Hesperiidae	Thoressa	varia			NA	Thoressa	varia		Accepted	GBIF		gonochorous			NA		62			"Maeki, K., 1953. Chromosome numbers of some butterflies. The Japanese Journal of Genetics, 28(1), pp.6-7."
Nymphalidae	Agraulis	vanillae			NA	Agraulis	vanillae		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Agraulis	vanillae			NA	Agraulis	vanillae		Accepted	GBIF					NA		62			"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.Biotropica, pp.24-31."
Noctuidae	Conistra	vaccinii			NA	Conistra	vaccinii		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Nymphalidae	Aglais	urticae			NA	Aglais	urticae		Accepted	GBIF		gonochorous			NA		62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Nymphalidae	Aglais	urticae			NA	Aglais	urticae		Accepted	GBIF					NA		62			"Maeki, K., 1953. Chromosome numbers of some butterflies. The Japanese Journal of Genetics, 28(1), pp.6-7."
Nymphalidae	Aglais	urticae	connexa		NA	Aglais	urticae		Accepted	GBIF		gonochorous			NA		62			Maeki 1961
Noctuidae	Adris	tyrannus	amurensis		NA	Adris	tyrannus		Accepted	GBIF					NA		62			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Noctuidae	Mytgimna	turca			NA	Mythimna	turca		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Notodontidae	Notodonta	trltophus			NA	Notodonta	tritophus		Accepted	GBIF		gonochorous			NA		62			Federley 1932b
Nymphalidae	Melitaea	trivia			NA	Melitaea	trivia		Accepted	GBIF		gonochorous			NA		62			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Pieridae	Rhabdodryas	trite			NA	Rhabdodryas	trite		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Psychidae	Solenobia	triquetrella			NA	Solenobia	triquetrella		Accepted	GBIF		parthenogenetic			2		62			Seiler 1923
Psychidae	Solenobia	triquetrella			NA	Solenobia	triquetrella		Accepted	GBIF		gonochorous	ZO		NA	61	62			traut2008sex
Noctuidae	Dichromia	trigonalis			NA	Dichromia	trigonalis		Accepted	GBIF					NA		62			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Noctuidae	Eupsilia	transversa			NA	Eupsilia	transversa		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Nymphalidae	Boloria	titania	helena		NA	Boloria	titania		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Nymphalidae	Clossiana	titania			NA	Clossiana	titania		Accepted	GBIF		gonochorous			NA		62			Lesse 1953b
Nymphalidae	Pseudoscada	timna			NA	Pseudoscada	timna		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Cyrestis	thyodamas			NA	Cyrestis	thyodamas		Accepted	GBIF		gonochorous			NA		62			"Maeki, K., 1953. A chromosome study of Japanese butterflies (Lepidoptera Rhopalocera). A. Studies Kwansei Gakuin Univ., 1, pp.67-70."
Nymphalidae	Cyrestis	thyodamas	formosana		NA	Cyrestis	thyodamas		Accepted	GBIF		gonochorous			NA		62			"Maeki, K., Ogata, M. and Shirozu, T., 1965. A study of the chromosomes in twenty-five speceis of Formosan Rhopalocera. Special Bulletines of the Lepidoptera Society Japan, (1), pp.1-10."
Nymphalidae	Clossiana	thore	jezoensis		NA	Clossiana	thore		Accepted	GBIF		gonochorous			NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Pieridae	Dismorphia	thermesia			NA	Dismorphia	thermesia		Accepted	GBIF					NA		62			"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137."
Nymphalidae	Phyciodes	tharos			NA	Phyciodes	tharos		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Nymphalidae	Actinote	thalia	pyrrha		NA	Actinote	thalia		Accepted	GBIF					NA		62			"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148."
Hesperiidae	Urbanus	teleus			NA	Urbanus	teleus		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Nymphalidae	Telenassa	teletusa			NA	Telenassa	teletusa		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Telenassa	teletusa			NA	Telenassa	teletusa		Accepted	GBIF					NA		62			"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148."
Nymphalidae	Eueides	tales			NA	Eueides	tales		Accepted	GBIF					NA		62			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Pieridae	Euchloe	tagis			NA	Euchloe	tagis		Accepted	GBIF					NA		62			"Lesse, H.D., 1970. Formules chromosomiques de quelques Rhopalocères paléarctiques [Lep].Bulletin de la Société entomologique de France,75(7), pp.214-216."
Hesperiidae	Erynnis	tages			NA	Erynnis	tages		Accepted	GBIF		gonochorous			NA		62			"Bigger, T.R.L., 1960. Chromosome numbers of Lepidoptera. Part I. Entomologist's Gaz., 11, pp.149-152."
Hesperiidae	Erynnis	tages			NA	Erynnis	tages		Accepted	GBIF					NA		62			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Hesperiidae	Anisocharia	sublimbata			NA	Anisochoria	sublimbata		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Noctuidae	Mamestra	suasa			NA	Mamestra	suasa		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Pieridae	Colias	stoliczkana	miranda		NA	Colias	stoliczkana		Accepted	GBIF		gonochorous			NA		62			Maeki and Ae 1966a
Hesperiidae	Grais	stigmaticus			NA	Grais	stigmaticus		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 2. Hesperiidae, Megathymidae and Pieridae. J. Lepid. Soc.,14, pp.37-57."
Nymphalidae	Metamorpha	stelenes			NA	Metamorpha	stelenes		Accepted	GBIF					NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Nymphalidae	Siproeta	stelenes			NA	Siproeta	stelenes		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Pieridae	Aphrissa	statira			NA	Aphrissa	statira		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Hesperiidae	Urbanus	simplicius			NA	Urbanus	simplicius		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Hesperiidae	Spialia	sertorius			NA	Spialia	sertorius		Accepted	GBIF					NA		62			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Pieridae	Phoebis	sennae			NA	Phoebis	sennae		Accepted	GBIF					NA		62			"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of neotropical butterflies from Trinidad and Tobago.Biotropica, pp.24-31."
Pieridae	Phoebis	sennae	sennae		NA	Phoebis	sennae		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Pieridae	Eurema	senegalensis			NA	Eurema	senegalensis		Accepted	GBIF		gonochorous			NA		62			Lesse and Condamin 1962
Pieridae	Colias	scudderii			NA	Colias	scudderi		Accepted	GBIF		gonochorous			NA		62			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 2. Hesperiidae, Megathymidae and Pieridae. J. Lepid. Soc.,14, pp.37-57."
Pieridae	Anthocharis	scolymus			NA	Anthocharis	scolymus		Accepted	GBIF					NA		62			"Maeki, K., 1958. A comparative study of chromosomes in 15 species of the Japanese Pieridae (Lepidoptera-Rhopalocera). Jpn J Genet, 33, pp.349-355."
Crambidae	Ostrinia	scapulalis			NA	Ostrinia	scapulalis		Accepted	GBIF		gonochorous	ZW		NA	62	62			traut2008sex
Noctuidae	Peridroma	saucia			NA	Peridroma	saucia		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Pyralidae	Pyrausta	sanguinalis			NA	Pyrausta	sanguinalis		Accepted	GBIF					NA		62			"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149."
Geometridae	Ourapteryx	sambucaria			NA	Ourapteryx	sambucaria		Accepted	GBIF					NA		62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Pieridae	Eurema	salome			NA	Eurema	salome		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Nymphalidae	Damora	sagana	Iiane		NA	Damora	sagana		Accepted	GBIF		gonochorous			NA		62			robinson1971karyology
Noctuidae	Anomis	sabulifera			NA	Anomis	sabulifera		Accepted	GBIF					NA		62			"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149."
Noctuidae	Cerastis	rubricosa			NA	Cerastis	rubricosa		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Noctuidae	Diarsia	rubi			NA	Diarsia	rubi		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Yponomeutidae	Yponomeuta	rorellus			NA	Yponomeuta	rorrella		Accepted	GBIF		gonochorous	complex ZW	ZZW/ZZZZ	NA	61	62			"Nilson, N.O., ‘Lofstedt, C.H.R.J.S.T.E.R. and Dävring, L., 1988. Unusual sex chromosome inheritance in six species of small ermine moths (Yponomeuta, Yponomeutidae, Lepidoptera). Hereditas, 108(2), pp.259-265."
Noctuidae	Hadena	rivularis			NA	Hadena	rivularis		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Erebidae	Pericallia	ricini			NA	Pericallia	ricini		Accepted	GBIF		gonochorous			NA		62			"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561."
Pieridae	Gonepteryx	rhamni			NA	Gonepteryx	rhamni		Accepted	GBIF					NA		62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Pieridae	Gonepteryx	rhamni			NA	Gonepteryx	rhamni		Accepted	GBIF		gonochorous			NA		62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Pieridae	Gonepteryx	rhamni			NA	Gonepteryx	rhamni		Accepted	GBIF					NA		62			"Maeki, K., 1958. A comparative study of chromosomes in 15 species of the Japanese Pieridae (Lepidoptera-Rhopalocera). Jpn J Genet, 33, pp.349-355."
Pieridae	Gonepteryx	rhamni	maxima		NA	Gonepteryx	rhamni		Accepted	GBIF		gonochorous			NA		62			Maeki 1958b
Pieridae	Eurema	reticulata			NA	Eurema	reticulata		Accepted	GBIF					NA		62			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Nymphalidae	Panacea	regina			NA	Panacea	regina		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Eryphanis	reevesii			NA	Eryphanis	reevesii		Accepted	GBIF					NA		62			"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481."
Noctuidae	Caradrina	rebeli			NA	Caradrina	rebeli		Accepted	GBIF					NA		62			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Nymphalidae	Acraea	ranavalona			NA	Acraea	ranavalona		Accepted	GBIF					NA		62			"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11."
Hesperiidae	Coeliades	ramanatke			NA	Coeliades	ramanatek		Accepted	GBIF					NA		62			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Hesperiidae	Coeliades	ramanatek			NA	Coeliades	ramanatek		Accepted	GBIF					NA		62			"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11."
Nymphalidae	Opsiphanes	quiteria			NA	Opsiphanes	quiteria		Accepted	GBIF					NA		62			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Opsiphanes	quiteria			NA	Opsiphanes	quiteria		Accepted	GBIF					NA		62			"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481."
