Family	Genus	Species	Subspecies	hap		Reference	SpeciesNames
Lycaenidae	Polyommatus	pljushtchi		67	134	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_pljushtchi
Lycaenidae	Polyommatus	pseudorjabovi		79	158	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_pseudorjabovi
Lycaenidae	Polyommatus	rjabovianus	masul	43	86	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_rjabovianus
Lycaenidae	Polyommatus	rjabovianus	rjabovianus	49	98	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_rjabovianus
Lycaenidae	Polyommatus	timfristos		38	76	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_timfristos
Lycaenidae	Polyommatus	violetae		90	180	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_violetae
Lycaenidae	Rapala	varuna	formosana	24	48	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Rapala_varuna
Lycaenidae	Spindasis	syama		31	62	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Spindasis_syama
Lycaenidae	Surendra	vivarna		25	50	"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152."	Surendra_vivarna
Lycaenidae	Thysonotis	cyanea	arinia	24	48	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Thysonotis_cyanea
Lycaenidae	Thysonotis	hymetus	taygetus	24	48	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Thysonotis_hymetus
Lycaenidae	Virachola	isocrates		19	38	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."	Virachola_isocrates
Lycaenidae	Zizeeria	mafia	argia	24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Zizeeria_mafia
Lycaenidae 	Polyommatus	yeranyani		79-80	158-160	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_yeranyani
Lymantriidae	Cifuna	locuples	confusa	19	38	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Cifuna_locuples
Lymantriidae	Dicallomera	fascelina		16	32	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicallomera_fascelina
Lymantriidae	Dicallomera	kusnezovi		20	40	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicallomera_kusnezovi
Lymantriidae	Euproctis	kogistana		22	44	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Euproctis_kogistana
Lymantriidae	Gynaephora	pumila		18	36	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Gynaephora_pumila
Lymantriidae	Gynaephora	rossi	daisetsuzana	26	52	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Gynaephora_rossi
Lymantriidae	Gynaephora	selenitica		22	44	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Gynaephora_selenitica
Lymantriidae	Laelia	caenosa		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Laelia_caenosa
Lymantriidae	Lymantria	monacha		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Lymantria_monacha
Lymantriidae	Lymantria	obfuscata		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Lymantria_obfuscata
Lymantriidae	Lymantria	umida		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Lymantria_umida
Lymantriidae	Olene	olga		21	42	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Olene_olga
Lymantriidae	Orgyia	gonostigma		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Orgyia_gonostigma
Lymantriidae	Orgyia	trigontehras		29	58	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Orgyia_trigontehras
Lymantriidae	Stilpnotia	salicis		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Stilpnotia_salicis
Noctuidae	Abrostola	aurifera		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Abrostola_aurifera
Noctuidae	Abrostola	confusa		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Abrostola_confusa
Noctuidae	Abrostola	festucae		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Abrostola_festucae
Noctuidae	Abrostola	gamma		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Abrostola_gamma
Noctuidae	Abrostola	nigrisigna		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Abrostola_nigrisigna
Noctuidae	Agrochola	Iota		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Agrochola_Iota
Noctuidae	Arete	coerulea		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Arete_coerulea
Noctuidae	Dypterygia	scabriuscula		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Dypterygia_scabriuscula
Noctuidae	Enargia	decolor		30	60	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Enargia_decolor
Noctuidae	Lithophane	consocia		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Lithophane_consocia
Noctuidae	Lithophane	ornitopus		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Lithophane_ornitopus
Noctuidae	Mythimna	conigera		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_conigera
Noctuidae	Mythimna	favicolor		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_favicolor
Noctuidae	Mythimna	ferraeo		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_ferraeo
Noctuidae	Mythimna	impura		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_impura
Noctuidae	Mythimna	pallens		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_pallens
Noctuidae	Mythimna	pudorina		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_pudorina
Noctuidae	Mythimna	turca		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Mythimna_turca
Noctuidae	Nycteola	frigidana		25	50	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Nycteola_frigidana
Noctuidae	Nycteola	rinereana		28	56	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Nycteola_rinereana
Noctuidae	Ochropleura	plecta		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Ochropleura_plecta
Noctuidae	Plusia	orichalceae		31	62	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."	Plusia_orichalceae
Noctuidae	Proderia	littora		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Proderia_littora
Noctuidae	Pyrrhia	exprimens		28	56	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Pyrrhia_exprimens
Noctuidae	Scotia	puta		31	62	"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395."	Scotia_puta
Noctuidae	Xylomyges	dolosa		31	62	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Xylomyges_dolosa
Notodontidae	Clostera	alpicalis		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Clostera_alpicalis
Notodontidae	Dicranura	delavoiei		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicranura_delavoiei
Notodontidae	Dicranura	erminea		28	56	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicranura_erminea
Notodontidae	Dicranura	felina		28	56	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicranura_felina
Notodontidae	Dicranura	iberica		24	48	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Dicranura_iberica
Notodontidae	Gonoclostera	timonides		23	46	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Gonoclostera_timonides
Notodontidae	Heterocampa	guttivitta		29	58	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Heterocampa_guttivitta
Notodontidae	Notodonta	tritophus		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Notodonta_tritophus
Notodontidae	Pygaera	cupreata		24	48	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Pygaera_cupreata
Notodontidae	Pygaera	fulgurita		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Pygaera_fulgurita
Notodontidae	Pygaera	timon		10	20	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Pygaera_timon
Notodontidae	Schizura	concinna		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Schizura_concinna
Notodontidae	Stauropus	basalis		14	28	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Stauropus_basalis
Nymphalidae	Aeria	elara		80	160	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Aeria_elara
Nymphalidae	Aeria	olena		27	54	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Aeria_olena
Nymphalidae	Anetia	thirza		31	62	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Anetia_thirza
Nymphalidae	Antirrhea	avernus		30	60	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Antirrhea_avernus
Nymphalidae	Antirrhea	lindigii		29	58	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Antirrhea_lindigii
Nymphalidae	Archaeoprepona	antimache		15	30	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Archaeoprepona_antimache
Nymphalidae	Archaeoprepona	pseudomeander		9	18	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Archaeoprepona_pseudomeander
Nymphalidae	Archaeoprepona	thalpius		16	32	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Archaeoprepona_thalpius
Nymphalidae	Argynnis	aglaia		29	58	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Argynnis_aglaia
Nymphalidae	Argynnis	childreni		31	62	"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152."	Argynnis_childreni
Nymphalidae	Brenthis	heate		34	68	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Brenthis_heate
Nymphalidae	Caerois	taygetina		29	58	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Caerois_taygetina
Nymphalidae	Callicore	tolima		21	42	"Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148."	Callicore_tolima
Nymphalidae	Callithomia	alexirrhoe		12	24	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Callithomia_alexirrhoe
Nymphalidae	Callithomia	hezia	beronilla	11	22	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Callithomia_hezia
Nymphalidae	Ceratinia	iolaia		15-Dec	24-30	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Ceratinia_iolaia
Nymphalidae	Ceratinia	tutia		17	34	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Ceratinia_tutia
Nymphalidae	Ceratiscada	canaria		24-27	48-54	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Ceratiscada_canaria
Nymphalidae	Ceratiscada	doto		12	24	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Ceratiscada_doto
Nymphalidae	Cethosa	chrysippe		31	62	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Cethosa_chrysippe
Nymphalidae	Cethosia	biblis		31	62	"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152."	Cethosia_biblis
Nymphalidae	Char	axes	fulvescens	57	114	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Char_axes
Nymphalidae	Charaxes	polyxena	polyxena	25	50	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."	Charaxes_polyxena
Nymphalidae	Cissia	palladia		105	210	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Cissia_palladia
Nymphalidae	Cupha	erymanthis	erymanthis	31	62	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."	Cupha_erymanthis
Nymphalidae	Cupha	prosope		31	62	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Cupha_prosope
Nymphalidae	Cybdelis	phaesila		23	46	"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., et al. (2014). The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nat Comms 5: 4737."	Cybdelis_phaesila
Nymphalidae	Danaus	cleophile		30	60	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Danaus_cleophile
Nymphalidae	Danaus	erippus		30	60	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Danaus_erippus
Nymphalidae	Dircenna	adina		14	28	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Dircenna_adina
Nymphalidae	Dircenna	jemina		19	38	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Dircenna_jemina
Nymphalidae	Dircenna	loreta		12	24	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Dircenna_loreta
Nymphalidae	Dircenna	paradoxa		17	34	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Dircenna_paradoxa
Nymphalidae	Doxocopa	agathina		31	62	"Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148."	Doxocopa_agathina
Nymphalidae	Dygoris	dircenna		36	72	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Dygoris_dircenna
Nymphalidae	Elzunia	humboldt		14	28	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Elzunia_humboldt
Nymphalidae	Episcada	hemixanthe		16	32	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_hemixanthe
Nymphalidae	Episcada	mira		17	34	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_mira
Nymphalidae	Episcada	montanella		24	48	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_montanella
Nymphalidae	Episcada	polita		28	56	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_polita
Nymphalidae	Episcada	salvinia		34	68	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_salvinia
Nymphalidae	Episcada	sylpha		31	62	"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236."	Episcada_sylpha
Nymphalidae	Erichthodes	arius		38	76	"Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481."	Erichthodes_arius
Nymphalidae	Eueides	parana		31	62	"Brown, K.S., Emmel, T.C., Eliazar, P.J. & Suomalainen, E. (1992). Evolutionary patterns in chromosome numbers in neotropical Lepidoptera. I. Chromosomes of the Heliconiini (family Nymphalidae: subfamily Nymphalinae). Hereditas 117: 109–125."	Eueides_parana
