Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,cite.key
Nymphalidae,Amauris,niavius,,,,,,,,,,,
Nymphalidae,Amauris,tartarea  ,gonochorous,,,,,NA,,77,74-80,,robinson1971karyology
Nymphalidae,Amnosia,decora,,,,,,,,,,,
Nymphalidae,Anaea,aidea  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Anaea,andria,,,,,,,,,,,
Nymphalidae,Anaea,troglodyta,,,,,,,,,,,
Nymphalidae,Anartia,fatima  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Anartia,jatrophae  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Anetia,briarea,,,,,,,,,,,
Nymphalidae,Antanartia,delius,,,,,,,,,,,
Nymphalidae,Antanartia,schaeneia,,,,,,,,,,,
Nymphalidae,Anthanassa,frisia,,,,,,,,,,,
Nymphalidae,Anthanassa,frisia hermas,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Anthanassa,ptolyca,,,,,,,,,,,
Nymphalidae,Anthanassa,texana,,,,,,,,,,,
Nymphalidae,Apatura,ilia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Apatura,ilia substituta ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Apatura,iris,,,,,,,,,,,
Nymphalidae,Apatura,nycteis,,,,,,,,,,,
Nymphalidae,Aphantopus,hyperantus,,,,,,,,,,,
Nymphalidae,Aphysoneura,pigmentaria,,,,,,,,,,,
Nymphalidae,Araschnia,burejana  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Araschnia,burejana strigosa ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Araschnia,Ievana  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Araschnia,Ievana obscura ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Araschnia,levana  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Arethusana,arethusa,,,,,,,,,,,
Nymphalidae,Argynnis,adippe,,,,,,,,58,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Nymphalidae,Argynnis,aglaia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,aglaia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,aglaja,,,,,,,,,,,
Nymphalidae,Argynnis,anadyomene  ,gonochorous,,,,,NA,,72,,,robinson1971karyology
Nymphalidae,Argynnis,anadyomene midas ,gonochorous,,,,,NA,,74,,,robinson1971karyology
Nymphalidae,Argynnis,aphirape ossianus ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Nymphalidae,Argynnis,euphrosyne  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argynnis,euphrosyne  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argynnis,freija  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argynnis,frigga  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argynnis,ino  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Nymphalidae,Argynnis,lathonia  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Argynnis,pales arsilache ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Argynnis,paphia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,paphia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,paphia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,paphia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,paphia geisha ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Argynnis,selene  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Argynnis,thore scandinavica ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Argyreus,hyperbius  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argyronome,laodice,,,,,,,,,,,
Nymphalidae,Argyronome,loadice  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argyronome,loadice japonica ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Argyronome,ruslana  ,gonochorous,,,,,NA,,52,,,robinson1971karyology
Nymphalidae,Argyronome,ruslana lysippe ,gonochorous,,,,,NA,,52,,,robinson1971karyology
Nymphalidae,Argyrophorus,argenteus,,,,,,,,,,,
Nymphalidae,Asterocampa,celtis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Asterocampa,clyton,,,,,,,,,,,
Nymphalidae,Asterocampa,idyja,,,,,,,,,,,
Nymphalidae,Asterocampa,leilia,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Asterocampa,leilia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Asterope,sp.,,,,,,,,20,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Asterope,sp. nr markii,,,,,,,,20,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Aterica,galene  ,gonochorous,,,,,NA,,45,44-46,,robinson1971karyology
Nymphalidae,Athyma,fortuna,,,,,,,,,,,
Nymphalidae,Athyma,ranga,,,,,,,,,,,
Nymphalidae,Athyma,selenophora,,,,,,,,,,,
Nymphalidae,Baeotus,deucalion,,,,,,,,30,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Baeotus,sp.,,,,,,,,28,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Basilarchia,archippus,,,,,,,,,,,
Nymphalidae,Basilarchia,arthemis,,,,,,,,,,,
Nymphalidae,Bebearia,sophus,,,,,,,,,,,
Nymphalidae,Biblis,hyperia  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Nymphalidae,Bicyclus,anynana,,,,,,,,,,,
Nymphalidae,Bicyclus,dorothea,,,,,,,,,,,
Nymphalidae,Bicyclus,dubia,,,,,,,,,,,
Nymphalidae,Bicyclus,iccius,,,,,,,,,,,
Nymphalidae,Bicyclus,medontias,,,,,,,,,,,
Nymphalidae,Bicyclus,safitza,,,,,,,,,,,
Nymphalidae,Bicyclus,vulgaris,,,,,,,,,,,
Nymphalidae,Boloria,aquilonaris  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Boloria,eunomia caelestis ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Nymphalidae,Boloria,euphrosyne,,,,,,,,,,,
Nymphalidae,Boloria,graeca  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Boloria,napaea  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Boloria,pales  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Boloria,selene tollandensis ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Boloria,sifanica,,,,,,,,,,,
Nymphalidae,Boloria,titania helena ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Brassolis,sophorae,,,,,,,,,,,
Nymphalidae,Brenthis,daphne  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Nymphalidae,Brenthis,daphne rabdia ,gonochorous,,,,,NA,,28,,,robinson1971karyology
Nymphalidae,Brenthis,heate  ,gonochorous,,,,,NA,,68,,,robinson1971karyology
Nymphalidae,Brenthis,hecate,,,,,,,,,,,
Nymphalidae,Brenthis,ino,,,,,,,,,,,
Nymphalidae,Brenthis,ino mashurnsis ,gonochorous,,,,,NA,,28,,,robinson1971karyology
Nymphalidae,Brenthis,ino tigroides ,gonochorous,,,,,NA,,28,,,robinson1971karyology
Nymphalidae,Brintesia,circe,,,,,,,,,,,
Nymphalidae,Byblia,anvatara,,,,,,,,,,,
Nymphalidae,Caduga,sita  ,gonochorous,,,,,NA,,94,,,robinson1971karyology
Nymphalidae,Caligo,idomeneus,,,,,,,,,,,
Nymphalidae,Calinaga,buddha,,,,,,,,,,,
Nymphalidae,Calisto,pulchella,,,,,,,,,,,
Nymphalidae,Callicore,hydaspes,,,,,,,,,"60,62",,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Callicore,lyca,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Callicore,tolina,,,,,,,,42,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Callithomia,hezia,,,,,,,,,,,
Nymphalidae,Callithomia,lenea,,,,,,,,,,,
Nymphalidae,Capronnieria,galesus,,,,,,,,,,,
Nymphalidae,Cassionympha,cassius,,,,,,,,,,,
Nymphalidae,Castilia,eranitis,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Castilia,myia,,,,,,,,,,,
Nymphalidae,Catacroptera,cloanthe,,,,,,,,,,,
Nymphalidae,Catonephele,acontius,,,,,,,,,,,
Nymphalidae,Catonephele,antinoe,,,,,,,,28,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catonephele,chromis,,,,,,,,30,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catonephele,numilia,,,,,,,,30,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catonephele,nyctinus,,,,,,,,46,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catonephele,orites,,,,,,,,42,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catonephele,salambria,,,,,,,,30,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Catuna,crithea,,,,,,,,,,,
Nymphalidae,Ceratinia,tutia,,,,,,,,,,,
Nymphalidae,Cercyonis,meadii,,,,,,,,,,,
Nymphalidae,Cercyonis,oetus,,,,,,,,,,,
Nymphalidae,Cercyonis,pegala,,,,,,,,,,,
Nymphalidae,Cethosia,biblis,,,,,,,,,,,
Nymphalidae,Cethosia,cyane,,,,,,,,,,,
Nymphalidae,Cethosia,cydippe,,,,,,,,,,,
Nymphalidae,Cethosia,hypsea,,,,,,,,,,,
Nymphalidae,Cethosia,nietneri,,,,,,,,,,,
Nymphalidae,Cethosia,penthesilea,,,,,,,,,,,
Nymphalidae,Charaxes,achaemenes,,,,,,,,,,,
Nymphalidae,Charaxes,acuminatus,,,,,,,,,,,
Nymphalidae,Charaxes,affinis,,,,,,,,,,,
Nymphalidae,Charaxes,ameliae,,,,,,,,,,,
Nymphalidae,Charaxes,amycus,,,,,,,,,,,
Nymphalidae,Charaxes,ansorgei,,,,,,,,,,,
Nymphalidae,Charaxes,antamboulou,,,,,,,,,,,
Nymphalidae,Charaxes,anticlea,,,,,,,,,,,
Nymphalidae,Charaxes,baumanni,,,,,,,,,,,
Nymphalidae,Charaxes,berkeleyi,,,,,,,,,,,
Nymphalidae,Charaxes,bernardus,,,,,,,,,,,
Nymphalidae,Charaxes,bipunctatus,,,,,,,,,,,
Nymphalidae,Charaxes,blanda,,,,,,,,,,,
Nymphalidae,Charaxes,bohemani,,,,,,,,,,,
Nymphalidae,Charaxes,boueti,,,,,,,,,,,
Nymphalidae,Charaxes,brutus,,,,,,,,,,,
Nymphalidae,Charaxes,cacuthis,,,,,,,,,,,
Nymphalidae,Charaxes,candiope,,,,,,,,,,,
Nymphalidae,Charaxes,castor,,,,,,,,,,,
Nymphalidae,Charaxes,cithaeron,,,,,,,,,,,
Nymphalidae,Charaxes,congdoni,,,,,,,,,,,
Nymphalidae,Charaxes,cynthia,,,,,,,,,,,
Nymphalidae,Charaxes,dilutus,,,,,,,,,,,
Nymphalidae,Charaxes,druceanus,,,,,,,,,,,
Nymphalidae,Charaxes,etesipe,,,,,,,,,,,
Nymphalidae,Charaxes,ethalion,,,,,,,,,,,
Nymphalidae,Charaxes,etheocles,,,,,,,,,,,
Nymphalidae,Charaxes,eudoxus,,,,,,,,,,,
Nymphalidae,Charaxes,eupale,,,,,,,,,,,
Nymphalidae,Charaxes,fulvescens  ,gonochorous,,,,,NA,,114,,,robinson1971karyology
Nymphalidae,Charaxes,galawadiwosi,,,,,,,,,,,
Nymphalidae,Charaxes,guderiana,,,,,,,,,,,
Nymphalidae,Charaxes,hadrianus,,,,,,,,,,,
Nymphalidae,Charaxes,howarthi,,,,,,,,,,,
Nymphalidae,Charaxes,jahlusa,,,,,,,,,,,
Nymphalidae,Charaxes,jasius,,,,,,50,,50,,,"Trentini, M. and Marini, M., 1986. A chromosome study ofCharaxes jasius L.(Lepidoptera, Nymphalidae). Genetica, 68(2), pp.157-159."
Nymphalidae,Charaxes,kirki,,,,,,,,,,,
Nymphalidae,Charaxes,lactetinctus,,,,,,,,,,,
Nymphalidae,Charaxes,lasti,,,,,,,,,,,
Nymphalidae,Charaxes,latona,,,,,,,,,,,
Nymphalidae,Charaxes,legeri,,,,,,,,,,,
Nymphalidae,Charaxes,lucretius,,,,,,,,,,,
Nymphalidae,Charaxes,lycurgus,,,,,,,,,,,
Nymphalidae,Charaxes,mafuga,,,,,,,,,,,
Nymphalidae,Charaxes,marieps,,,,,,,,,,,
Nymphalidae,Charaxes,marmax,,,,,,,,,,,
Nymphalidae,Charaxes,montis,,,,,,,,,,,
Nymphalidae,Charaxes,nandina,,,,,,,,,,,
Nymphalidae,Charaxes,nichetes,,,,,,,,,,,
Nymphalidae,Charaxes,numenes,,,,,,,,,,,
Nymphalidae,Charaxes,opinatus,,,,,,,,,,,
Nymphalidae,Charaxes,paphianus,,,,,,,,,,,
Nymphalidae,Charaxes,penricei,,,,,,,,,,,
Nymphalidae,Charaxes,plantroui,,,,,,,,,,,
Nymphalidae,Charaxes,pleione,,,,,,,,,,,
Nymphalidae,Charaxes,pollux,,,,,,,,,,,
Nymphalidae,Charaxes,protoclea,,,,,,,,,,,
Nymphalidae,Charaxes,pythodoris,,,,,,,,,,,
Nymphalidae,Charaxes,smaragdalis,,,,,,,,,,,
Nymphalidae,Charaxes,solon,,,,,,,,,,,
Nymphalidae,Charaxes,subornatus,,,,,,,,,,,
Nymphalidae,Charaxes,tiridates,,,,,,,,,,,
Nymphalidae,Charaxes,varanes,,,,,,,,,,,
Nymphalidae,Charaxes,virilis,,,,,,,,,,,
Nymphalidae,Charaxes,xiphares,,,,,,,,,,,
Nymphalidae,Charaxes,zingha  ,gonochorous,,,,,NA,,52,,,robinson1971karyology
Nymphalidae,Charaxes,zingha  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Nymphalidae,Charaxes,zoolina,,,,,,,,,,,
Nymphalidae,Chazara,briseis,,,,,,,,,,,
Nymphalidae,Chersonesia,rahria,,,,,,,,,,,
Nymphalidae,Chitoria,chrysolora,,,,,,,,,,,
Nymphalidae,Chitoria,ulupi,,,,,,,,,,,
Nymphalidae,Chlosyne,californica,,,,,,,,,,,
Nymphalidae,Chlosyne,damoetas  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Chlosyne,gaudealis,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,harrish  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Chlosyne,hippodrome,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,janais,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,lacina lacinia,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,lacinia,,,,,,,,,,,
Nymphalidae,Chlosyne,lacinia adjutrix,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,narva,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Chlosyne,palla  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Cirrochroa,emalea,,,,,,,,,,,
Nymphalidae,Cirrochroa,tyche,,,,,,,,,,,
Nymphalidae,Cissia,confusa,,,,,,,,,,,
Nymphalidae,Cissia,penelope,,,,,,,,,,,
Nymphalidae,Clossiana,alberta,,,,,,,,,,,
Nymphalidae,Clossiana,astarte,,,,,,,,,,,
Nymphalidae,Clossiana,dia,,,,,,,,,,,
Nymphalidae,Clossiana,freija,,,,,,,,,,,
Nymphalidae,Clossiana,frigga,,,,,,,,,,,
Nymphalidae,Clossiana,improba,,,,,,,,,,,
Nymphalidae,Clossiana,iphigenia,,,,,,,,,,,
Nymphalidae,Clossiana,kriemhild,,,,,,,,,,,
Nymphalidae,Clossiana,selene,,,,,,,,,,,
Nymphalidae,Clossiana,thore,,,,,,,,,,,
Nymphalidae,Clossiana,thore jezoensis ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Clossiana,titania  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Coelites,euptychioides,,,,,,,,,,,
Nymphalidae,Coenonympha,arcania,,,,,,,,,,,
Nymphalidae,Coenonympha,dorus,,,,,,,,,,,
Nymphalidae,Coenonympha,glycerion,,,,,,,,,,,
Nymphalidae,Coenonympha,hero,,,,,,,,,,,
Nymphalidae,Coenonympha,oedippus,,,,,,,,,,,
Nymphalidae,Coenonympha,pamphilus,,,,,,,,,,,
Nymphalidae,Coenonympha,tiphom occupata,,,,,,,,58,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Nymphalidae,Coenonympha,tullia,,,,,,,,,,,
Nymphalidae,Colobura,dirce,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Consul,fabius,,,,,,,,,,,
Nymphalidae,Cupha,erymanthis,,,,,,,,,,,
Nymphalidae,Cupha,prosope,,,,,,,,,,,
Nymphalidae,Cyllopsis,gemma,,,,,,,,,,,
Nymphalidae,Cyllopsis,pertepida,,,,,,,,,,,
Nymphalidae,Cymothoe,caenis,,,,,,,,,,,
Nymphalidae,Cyrestis,thyodamas  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Cyrestis,thyodamas formosana ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Damora,sagana,,,,,,,,,,,
Nymphalidae,Damora,sagana Iiane ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Danaus,chrysippus  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Danaus,chrysippus  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Danaus,eresimus  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Nymphalidae,Danaus,erippus,,,,,,,,,,,
Nymphalidae,Danaus,genutia,gonochorous,,,,,NA,,60,,originally reported as plexippus,nageswara1975chromosome
Nymphalidae,Danaus,gilippus  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Nymphalidae,Danaus,limniace petiverana ,gonochorous,,,,,NA,,87,82-92,,robinson1971karyology
Nymphalidae,Danaus,plexippus,gonochorous,,,,,NA,,56,,,hamm2017chromosome
Nymphalidae,Danaus,plexippus,gonochorous,,,,,NA,,60,,,walters2016neo
Nymphalidae,Dasyophthalma,rusina,,,,,,,,,,,
Nymphalidae,Diaethria,anna,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Diaethria,candrena,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Diaethria,clymena,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Dichorragia,nesimachus,,,,,,,,,,,
Nymphalidae,Dingana,dingana,,,,,,,,,,,
Nymphalidae,Dira,clytus,,,,,,,,,,,
Nymphalidae,Dira,jansei,,,,,,,,,,,
Nymphalidae,Dira,oxylus,,,,,,,,,,,
Nymphalidae,Dira,swanepoeli,,,,,,,,,,,
Nymphalidae,Dircenna,dero,,,,,,,,,,,
Nymphalidae,Discophora,necho,,,,,,,,,,,
Nymphalidae,Discophora,sondaica,,,,,,,,,,,
Nymphalidae,Dodonidia,helmsii,,,,,,,,,,,
Nymphalidae,Doleschallia,bisaltide,,,,,,,,,,,
Nymphalidae,Dophla,evelina,,,,,,,,,,,
Nymphalidae,Doxocopa,cyane,,,,,,,,,N=32-33,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Doxocopa,elis,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Doxocopa,laure,,,,,,,,,,,
Nymphalidae,Doxocopa,laurentia,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Doxocopa,linda,,,,,,,,64,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Doxocopa,pavon,,,,,,,,,N=33-34,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Doxocopa,sp. nr agathina,,,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Dryadula,phaetusa,,,,,,,,62,,,"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalinae). Hereditas, 117(2), pp.109-125."
Nymphalidae,Dryas,julia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Nymphalidae,Dymasia,dymas,,,,,,,,,,,
Nymphalidae,Dynamine,agacles,,,,,,,,58,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae. Hereditas, 144(4), pp.137-148."
Nymphalidae,Dynamine,arene,,,,,,,,60,,,"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.ÊBiotropica, pp.24-31."
