"run","rep","fission","fusion","aneuploidy","tips","rr","cond"
"empPcond.2.nTips100.rr10.RData.tree.65.RData",3,0,0.01,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",3,0,0.2,0.02,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",3,0.12,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",3,0.05,0.02,0.01,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",3,0.03,0.01,0.02,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",3,0.26,0.69,0.22,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",3,0,0.05,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",4,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",4,0.14,0.01,0.03,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",4,0,1,0.26,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",4,0.54,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",4,1,0.16,0.63,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",4,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",4,0,0.16,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",4,0.08,0,0,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",4,0.02,0.02,0.01,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",4,0.02,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",4,0.22,0.65,0.28,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",4,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",5,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",5,0.14,0,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",5,0.01,1,0.2,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",5,0.48,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",5,1,0.12,0.65,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",5,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",5,0.01,0.18,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",5,0.09,0.02,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",5,0.04,0.05,0.01,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",5,0.02,0.01,0.02,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",5,0.3,0.7,0.3,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",5,0,0.05,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",6,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",6,0.15,0.02,0.01,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",6,0.01,1,0.15,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",6,0.42,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",6,1,0.16,0.62,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",6,0,0.07,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",6,0.01,0.16,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",6,0.1,0,0,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",6,0.03,0.05,0.04,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",6,0.03,0.01,0.02,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",6,0.19,0.78,0.28,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",6,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",7,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",7,0.12,0.01,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",7,0,0.99,0.14,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",7,0.51,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",7,1,0.23,0.66,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",7,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",7,0.02,0.23,0.02,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",7,0.1,0.01,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",7,0.09,0.05,0.05,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",7,0.02,0.01,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",7,0.15,0.66,0.17,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",7,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",8,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",8,0.17,0,0.04,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",8,0.01,0.99,0.24,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",8,0.61,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",8,1,0.13,0.61,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",8,0,0.05,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",8,0.01,0.28,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",8,0.07,0.03,0.04,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",8,0.04,0.06,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",8,0.04,0.01,0.02,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",8,0.19,0.69,0.16,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",8,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",9,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",9,0.16,0.01,0.01,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",9,0,0.98,0.19,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",9,0.48,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",9,1,0.18,0.65,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",9,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",9,0,0.26,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",9,0.14,0.02,0.02,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",9,0.03,0.08,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",9,0.02,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",9,0.28,0.66,0.23,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",9,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",10,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",10,0.16,0.03,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",10,0.03,1,0.21,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",10,0.44,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",10,1,0.12,0.66,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",10,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",10,0,0.19,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",10,0.06,0.02,0,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",10,0.06,0.03,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",10,0.05,0.04,0.03,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",10,0.21,0.69,0.25,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",10,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",11,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",11,0.17,0.01,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",11,0.01,1,0.22,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",11,0.45,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",11,1,0.14,0.7,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",11,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",11,0.01,0.27,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",11,0.13,0.01,0.02,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",11,0.06,0.09,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",11,0,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",11,0.18,0.77,0.24,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",11,0,0.05,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",12,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",12,0.21,0.01,0.03,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",12,0.01,0.99,0.16,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",12,0.46,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",12,1,0.17,0.67,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",12,0,0.07,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",12,0.01,0.2,0.02,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",12,0.08,0.02,0.02,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",12,0.05,0.01,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",12,0.02,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",12,0.23,0.68,0.2,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",12,0,0.01,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",13,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",13,0.2,0.02,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",13,0,0.98,0.18,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",13,0.53,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",13,1,0.1,0.65,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",13,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",13,0.01,0.18,0.02,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",13,0.11,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",13,0.05,0.07,0.05,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",13,0.01,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",13,0.2,0.67,0.24,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",13,0,0.03,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",14,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",14,0.19,0,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",14,0,0.99,0.17,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",14,0.5,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",14,1,0.14,0.63,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",14,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",14,0,0.17,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",14,0.11,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",14,0.05,0.02,0,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",14,0,0.01,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",14,0.25,0.72,0.25,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",14,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",15,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",15,0.14,0,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",15,0.01,1,0.22,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",15,0.55,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",15,1,0.16,0.58,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",15,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",15,0,0.19,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",15,0.09,0,0,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",15,0.06,0.05,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",15,0.02,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",15,0.24,0.68,0.24,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",15,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",16,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",16,0.15,0.01,0.03,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",16,0.02,1,0.2,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",16,0.47,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",16,1,0.13,0.55,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",16,0,0.01,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",16,0,0.22,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",16,0.15,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",16,0.07,0.04,0.01,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",16,0.01,0.01,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",16,0.34,0.75,0.35,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",16,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",17,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",17,0.21,0.01,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",17,0.01,1,0.21,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",17,0.44,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",17,1,0.19,0.55,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",17,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",17,0.01,0.17,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",17,0.14,0.02,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",17,0.06,0.05,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",17,0.01,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",17,0.24,0.76,0.3,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",17,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",18,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",18,0.19,0,0.01,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",18,0,1,0.17,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",18,0.46,0.01,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",18,1,0.14,0.56,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",18,0,0.04,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",18,0.01,0.15,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",18,0.13,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",18,0.07,0.06,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",18,0,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",18,0.27,0.75,0.32,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",18,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",19,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",19,0.14,0.01,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",19,0,1,0.15,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",19,0.49,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",19,1,0.11,0.62,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",19,0,0.06,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",19,0,0.15,0.02,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",19,0.12,0.02,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",19,0.09,0.04,0.06,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",19,0.04,0,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",19,0.2,0.67,0.22,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",19,0,0.03,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",20,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",20,0.15,0.01,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",20,0.02,1,0.18,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",20,0.56,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",20,1,0.13,0.62,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",20,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",20,0,0.16,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",20,0.14,0,0,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",20,0.06,0.03,0.02,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",20,0.04,0.01,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",20,0.25,0.72,0.27,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",20,0,0.04,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",21,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",21,0.13,0,0.01,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",21,0.02,1,0.27,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",21,0.36,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",21,1,0.14,0.59,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",21,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",21,0,0.15,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",21,0.09,0.01,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",21,0.05,0.03,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",21,0.01,0,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",21,0.28,0.72,0.22,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",21,0,0.02,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",22,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",22,0.17,0.01,0.02,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",22,0.01,1,0.18,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",22,0.49,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",22,1,0.1,0.55,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",22,0,0.06,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",22,0,0.13,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",22,0.15,0.01,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",22,0.11,0.06,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",22,0.02,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",22,0.22,0.68,0.26,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",22,0,0.05,0.01,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",23,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",23,0.19,0.01,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",23,0.01,1,0.29,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",23,0.51,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",23,1,0.13,0.55,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",23,0,0.02,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",23,0.01,0.16,0,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",23,0.08,0,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",23,0.04,0.06,0.03,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",23,0.01,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",23,0.28,0.66,0.29,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",23,0,0.04,0,100,5,3
"empPcond.1.nTips200.rr1.RData.tree.65.RData",1,0.01,1,0.07,200,1,1
"empPcond.1.nTips200.rr10.RData.tree.65.RData",1,0,0,0,200,10,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",1,0.96,0.02,0.02,200,2,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",1,0.03,0.01,0.01,200,5,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",1,0.03,1,0.37,200,1,2
"empPcond.2.nTips200.rr10.RData.tree.65.RData",1,0,0.05,0,200,10,2
"empPcond.2.nTips200.rr2.RData.tree.65.RData",1,0.15,0.01,0,200,2,2
"empPcond.2.nTips200.rr5.RData.tree.65.RData",1,0.37,0,0.01,200,5,2
"empPcond.3.nTips200.rr1.RData.tree.65.RData",1,0,0,0,200,1,3
"empPcond.3.nTips200.rr10.RData.tree.65.RData",1,0,0,0,200,10,3
"empPcond.3.nTips200.rr2.RData.tree.65.RData",1,0,0.06,0,200,2,3
"empPcond.3.nTips200.rr5.RData.tree.65.RData",1,0,0,0,200,5,3
"empPcond.1.nTips200.rr1.RData.tree.65.RData",2,0.02,1,0.03,200,1,1
"empPcond.1.nTips200.rr10.RData.tree.65.RData",2,0,0,0,200,10,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",2,0.95,0.01,0.03,200,2,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",2,0.02,0.02,0.01,200,5,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",2,0.07,1,0.45,200,1,2
"empPcond.2.nTips200.rr10.RData.tree.65.RData",2,0,0.05,0,200,10,2
"empPcond.2.nTips200.rr2.RData.tree.65.RData",2,0.09,0.05,0.01,200,2,2
"empPcond.2.nTips200.rr5.RData.tree.65.RData",2,0.44,0,0.02,200,5,2
"empPcond.3.nTips200.rr1.RData.tree.65.RData",2,0.03,0,0.01,200,1,3
"empPcond.3.nTips200.rr10.RData.tree.65.RData",2,0,0,0,200,10,3
"empPcond.3.nTips200.rr2.RData.tree.65.RData",2,0.01,0.09,0.02,200,2,3
"empPcond.3.nTips200.rr5.RData.tree.65.RData",2,0,0,0,200,5,3
"empPcond.1.nTips200.rr1.RData.tree.65.RData",3,0,1,0.11,200,1,1
"empPcond.1.nTips200.rr10.RData.tree.65.RData",3,0,0,0,200,10,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",3,0.96,0.04,0.01,200,2,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",3,0.03,0.03,0.01,200,5,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",3,0.04,1,0.26,200,1,2
"empPcond.2.nTips200.rr10.RData.tree.65.RData",3,0,0.05,0,200,10,2
"empPcond.2.nTips200.rr2.RData.tree.65.RData",3,0.07,0.01,0.01,200,2,2
"empPcond.2.nTips200.rr5.RData.tree.65.RData",3,0.35,0,0,200,5,2
"empPcond.3.nTips200.rr1.RData.tree.65.RData",3,0,0,0,200,1,3
"empPcond.3.nTips200.rr10.RData.tree.65.RData",3,0,0,0,200,10,3
"empPcond.3.nTips200.rr2.RData.tree.65.RData",3,0.01,0.09,0.02,200,2,3
"empPcond.3.nTips200.rr5.RData.tree.65.RData",3,0,0,0,200,5,3
"empPcond.1.nTips200.rr1.RData.tree.65.RData",4,0.01,1,0.06,200,1,1
"empPcond.1.nTips200.rr10.RData.tree.65.RData",4,0.01,0,0,200,10,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",4,0.94,0.01,0.01,200,2,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",4,0.02,0.04,0.01,200,5,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",4,0.04,1,0.42,200,1,2
"empPcond.2.nTips200.rr10.RData.tree.65.RData",4,0,0.07,0,200,10,2
"empPcond.2.nTips200.rr2.RData.tree.65.RData",4,0.08,0.01,0.01,200,2,2
"empPcond.2.nTips200.rr5.RData.tree.65.RData",4,0.41,0,0,200,5,2
"empPcond.3.nTips200.rr1.RData.tree.65.RData",4,0.03,0.03,0.03,200,1,3
"empPcond.3.nTips200.rr10.RData.tree.65.RData",4,0,0,0,200,10,3
"empPcond.3.nTips200.rr2.RData.tree.65.RData",4,0,0.07,0.01,200,2,3
"empPcond.3.nTips200.rr5.RData.tree.65.RData",4,0,0,0,200,5,3
"empPcond.1.nTips200.rr1.RData.tree.65.RData",5,0.01,1,0.03,200,1,1
"empPcond.1.nTips200.rr10.RData.tree.65.RData",5,0,0,0,200,10,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",5,0.95,0.01,0.02,200,2,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",5,0.01,0.03,0.01,200,5,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",5,0.05,1,0.31,200,1,2
"empPcond.2.nTips200.rr10.RData.tree.65.RData",5,0,0.04,0,200,10,2
"empPcond.2.nTips200.rr2.RData.tree.65.RData",5,0.08,0.05,0.01,200,2,2
"empPcond.2.nTips200.rr5.RData.tree.65.RData",5,0.44,0,0,200,5,2
"empPcond.3.nTips200.rr1.RData.tree.65.RData",5,0,0,0,200,1,3
"empPcond.3.nTips200.rr10.RData.tree.65.RData",5,0,0,0,200,10,3
"empPcond.3.nTips200.rr2.RData.tree.65.RData",5,0,0.04,0.01,200,2,3
"empPcond.3.nTips200.rr5.RData.tree.65.RData",5,0,0,0,200,5,3
